69,27.19,86.28
70,17.16,86.28
71.03,13.27,86.49
72.05,25.97,86.34
73.08,29.2,87.19
74.1,23.94,88.11
75,19.22,86.28
76.03,10.27,88.49
77.05,23.97,88.34
78.08,39.2,88.19
79.1,13.94,88.11
80.12,7.98,88.72
81.08,9.25,88.19
82.1,14.22,88.11
83,12,90.25
84.03,8.95,95.21
85.03,5.95,95.21
86.03,7.95,95.55
87.05,11.97,96.08
88.07,19.56,96.12
89.11,12.71,96.31
90.11,10,106.73
91.12,11.2,106.31
92.03,15,106.27
93.03,14.8,106.77
94.53,26,107.26
95.03,25,106.27
96.03,24.8,106.77
97.53,36,107.26
98.53,35,107.26
99.9,36.3,107.23
100.91,39,108.22
101.93,32.1,108.29
102.94,32.4,108.14
103.96,37.4,108.14
104.97,34.1,108.26
105.03,33.2,108.37
106.05,35.5,108.41
107.05,37.5,108.41
108.08,30,108.48
109.2,34.5,108.64
110.2,30.1,108.71
111.23,36.2,108.94
112.26,36.9,109.17
113.28,38.6,109.21
114.29,28.3,109.06
115.34,39.3,109.32
116.29,33.4,109.06
117.34,31.5,109.32
118,30.1,109.55
119,21.44,109.66
120.03,90.04,109.13
121.04,56.01,108.17
122.04,2.58,102.49
123.06,108.42,102.03
124.11,151.12,101.84
125.13,102.1,101.31
126.15,65.53,101.99
127.17,39.4,102.45
128.4,38.47,102.11
129.4,27.48,102.61
130.4,27.91,102.95
131.41,17.42,103.02
132.43,11.49,104.07
133.43,38.52,104.03
134.6,28.77,103.99
135.61,7.29,104.72
136.62,15.43,104.83
137.63,24.47,104.83
138.63,26.79,104.95
139.63,16.34,105.02
140.63,17.42,105.33
141.63,36.01,105.33
142.66,29.28,105.33
143.68,24.07,105.37
144.71,26.28,105.6
145.73,21.11,105.71
146.74,22.1,105.79
147.76,29.29,105.79
148.78,22.7,105.86
149.79,29.19,106.05
150.8,25.09,106.09
152,24.43,106.28
153.03,27.08,107.35
154.06,263.47,107.58
155.13,323.09,107.62
156.15,280.88,107.69
157.17,33.68,106.55
158.19,39.02,107.65
159.21,17.44,108.11
160.23,16.93,108.68
161.24,9.29,108.38
162.25,6.12,108.84
163.26,6.06,109.03
164.27,26.92,109.22
165.28,37.82,109.33
166.29,11.89,109.3
167.3,25.86,109.52
168.3,29.57,109.49
169.3,22.42,109.49
170.3,30.26,109.52
171.3,26.86,109.26
172.33,22.08,109.37
173.35,18.24,109.68
174.37,24.36,109.75
175.39,16.04,109.79
176.41,8.69,109.91
177.43,13.97,109.94
178.45,24.21,109.98
179.46,39.68,109.94
180.47,49.26,109.91
181.48,42.82,109.83
182.5,21.9,109.3
183.52,37.42,109.94
184.54,32.4,110.13
185.56,21.26,109.33
186.57,26.08,109.91
187.58,27.83,110.13
188.59,25.28,110.17
189.6,21.64,110.25
190.61,8.66,110.32
191.62,17.95,110.44
192.63,21.29,110.25
193.63,17.3,110.55
194.63,14.56,110.52
195.63,16.53,110.59
196.66,24.3,110.59
197.68,26.91,110.48
198.71,17.7,110.52
199.73,14.7,110.67
200.75,19.53,110.74
201.77,23.96,110.59
202.78,16.87,110.63
203.8,17.49,110.74
204.81,23.1,110.94
205.83,29.16,110.9
206.84,30.83,110.86
212.9,19.24,111.05
213.91,8.25,109.71
214.92,18.11,110.44
215.94,21.11,110.55
216.95,26.8,110.67
217.96,28.66,110.67
218.98,22.75,110.55
219.99,18.45,110.63
220.99,17.2,110.63
222,19.49,110.86
223.01,19.15,110.86
224.01,17.54,110.86
225.01,25.91,110.94
226.01,21.45,111.05
227.04,17.67,111.01
228.06,15.18,111.16
229.09,15.67,111.13
230.11,13.23,111.24
231.13,10.89,111.35
232.15,12.3,111.39
233.16,13.66,111.51
234.18,13.84,111.28
235.19,12.85,111.62
236.2,11,111.74
238.2,12,111.74
240.2,13,111.74
242.2,11,111.74
243.1,10,111.97
244.12,13.22,110.9
245.13,27.72,111.01
246.15,30.97,111.01
247.19,33.72,111.05
248.2,32.46,110.97
249.21,41.67,110.94
250.22,41.02,110.67
251.22,46.29,110.48
252.22,45.07,110.29
253.22,48.63,110.1
254.25,41.96,110.02
255.27,35.8,109.94
256.3,33.18,110.17
257.32,23.13,110.36
258.34,19.22,110.74
259.36,21.07,111.62
260.37,20.89,111.85
261.39,20.09,111.89
262.4,25.85,111.89
263.42,37.21,112
264.43,40.91,112.08
265.44,28.85,112.04
266.44,22.69,112.12
273.1,10,111.24
274.11,11.31,112.58
275.12,14.9,113.03
276.13,12.01,113.26
277.14,11.58,113.57
278.14,13.88,113.76
279.15,11.38,114.14
280.15,11.26,114.33
281.16,12.28,114.41
282.16,8.4,115.17
283.16,7.33,115.7
284.19,9.27,116.35
285.2,11.56,117.04
286.23,17.53,116.43
287.25,15.57,116.43
288.27,14.74,117.04
289.29,14.66,116.89
290.3,18.58,117.15
291.32,16.85,117.69
292.33,17.12,117.99
293.35,16.72,117.88
294.36,18.84,117.72
295.37,21.27,117.38
296.38,22.71,117.42
303.2,19.62,117.23
304.21,4.82,116.77
305.23,15.35,116.58
306.24,16.81,116.39
307.26,15.64,116.35
308.27,9.75,116.43
309.29,11.93,116.77
310.3,13.45,116.69
311.31,15.55,116.69
312.32,16.08,116.54
313.33,21.76,116.47
314.34,20.36,116.28
315.35,31.8,116.24
316.36,28.75,116.2
317.36,27.2,116.12
318.36,16.06,116.05
319.37,13.72,115.97
320.37,11.93,115.89
321.37,9.11,115.82
322.4,14.02,115.78
323.42,10.3,115.7
324.45,14.71,115.63
325.48,12.76,115.59
326.5,14.12,115.59
327.51,22.83,115.55
328.53,17.35,115.59
329.55,21.16,115.63
330.55,16.33,115.67
331.58,24.13,115.67
332.77,19.21,115.63
334,13.59,115.74
335.02,13.91,115.55
336.03,16.11,115.36
337.07,5.02,115.51
338.09,16.39,115.63
339.11,7.76,115.63
340.13,6.86,115.63
341.15,9.43,115.63
342.16,6.68,115.59
342.16,6.68,115.59
343.18,5.77,115.59
344.19,8.16,115.63
345.2,9.87,115.55
346.22,11.97,115.59
347.23,18.18,115.55
348.23,14.53,115.51
349.24,12.95,115.44
350.25,9.13,115.47
351.25,8.78,115.44
352.26,9.72,115.36
353.26,8.83,115.32
354.26,7.76,115.21
355.26,8.7,115.21
356.29,9.14,115.32
357.32,12.54,115.4
358.35,12.44,115.25
359.37,9.71,114.75
360.39,10.15,114.64
361.42,14.73,114.52
362.44,13.32,114.6
363.46,10.4,114.86
364.48,8.59,115.21
365.5,7.78,115.36
366.51,7.78,115.82
367.58,10.56,115.93
368.7,5.33,117.57
369.72,18.92,117.42
370.73,14.18,117
371.75,8.6,116.89
372.75,14.29,116.81
373.76,16.76,118.91
374.77,10.74,118.95
375.79,10.99,118.95
376.8,8.82,118.6
377.81,12.43,118.3
378.82,12,117.88
379.83,8.28,118.03
380.84,11.86,118.37
381.85,12.85,118.37
382.85,13.16,118.45
383.86,12.51,118.34
384.86,13.32,118.45
385.86,11.06,118.41
386.86,14.47,119.67
387.89,12.69,119.59
387.89,12.69,119.59
388.92,11.63,120.01
389.95,15.34,120.74
390.97,16.77,121.23
392,9.83,121.46
393.02,6.81,121.81
394.04,7.18,121.54
395.06,7.33,121.27
396.08,7.08,121.73
397.1,7.11,121.46
398.12,7.01,121.01
399.15,8.71,121.04
400.22,4.52,122.15
401.27,11.5,121.96
402.29,11.03,121.62
402.29,11.03,121.62
403.31,9.22,119.21
404.33,11.16,120.17
405.35,21.65,120.74
406.36,29.01,120.85
407.38,28.09,121.16
408.39,19.4,121.31
409.4,15.5,121.23
410.41,15.16,121.96
411.42,11.95,122.26
411.42,11.95,122.26
412.43,10.89,122.57
413.44,10.95,121.81
414.44,9.08,122.87
415.45,10.96,123.75
416.45,12.67,123.98
417.45,11.76,124.36
418.46,12.25,123.41
419.46,13.54,122.76
420.48,10.01,122.07
421.51,8.46,121.35
422.54,10.09,121.04
423.56,12.42,121.08
424.59,11.17,121.42
425.61,11.28,121.88
426.63,10,122.07
427.65,9.68,122.65
428.67,10.42,122.72
429.69,8.93,123.33
430.7,8.49,123.41
431.72,3.94,121.08
432.73,8.33,122.68
433.74,9.23,123.29
434.75,8.2,123.75
435.75,7.55,124.36
436.76,7.57,124.71
437.77,7.66,125.43
438.77,7.62,125.81
439.77,8.58,126.27
440.77,10.27,126.54
441.79,9.03,126.96
442.82,7.13,127.34
443.84,7.52,127.76
444.86,7.87,128.06
445.87,8.05,128.56
446.89,6.76,129.05
447.9,8.63,129.24
448.92,10.47,129.43
449.93,9.24,129.85
450.94,10.34,130.01
451.95,10.69,130.46
452.95,10.38,130.81
